City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,cherskiy,68.75,161.3,-12.93,87,{'all': 6},2.58,RU,1681728287
124,tessalit,20.1986,1.0114,34.15,5,{'all': 0},4.57,ML,1681728288
125,saysain,14.5611,120.3925,30.05,75,{'all': 26},1.66,PH,1681728288
126,svetlogorsk,52.6333,29.7333,11.91,57,{'all': 100},3.08,BY,1681728289
127,saskylakh,71.9167,114.0833,-14.09,97,{'all': 100},3.22,RU,1681728290
128,coari,-4.085,-63.1414,23.18,98,{'all': 100},0.82,BR,1681728278
129,araguaina,-7.1911,-48.2072,25.01,86,{'all': 85},0.58,BR,1681728291
130,touros,-5.1989,-35.4608,25.76,90,{'all': 100},3.66,BR,1681728292
131,grand-santi,4.25,-54.3833,23.82,97,{'all': 100},1.11,GF,1681728292
132,katangli,51.7102,143.2326,-2.83,94,{'all': 100},5.61,RU,1681728293
133,toba,34.4833,136.85,14.0,60,{'all': 0},7.18,JP,1681728118
134,port lincoln,-34.7333,135.8667,17.08,88,{'all': 69},5.35,AU,1681728294
135,faanui,-16.4833,-151.75,27.07,76,{'all': 34},4.35,PF,1681728294
136,luanda,-8.8368,13.2343,30.0,70,{'all': 75},3.6,AO,1681728044
137,coahuayana,18.7333,-103.6833,21.03,86,{'all': 5},1.13,MX,1681728295
138,pierre,44.3683,-100.351,-0.4,80,{'all': 0},1.79,US,1681728296
139,aksu,41.1231,80.2644,24.62,17,{'all': 100},5.7,CN,1681728296
140,bousso,10.4795,16.7117,39.44,11,{'all': 58},3.37,TD,1681728297
141,namwala,-15.7504,26.4384,26.41,43,{'all': 80},4.14,ZM,1681728297
142,kharagpur,22.3333,87.3333,42.22,14,{'all': 21},3.72,IN,1681728298
143,platteville,42.7342,-90.4785,-0.48,92,{'all': 100},10.55,US,1681728247
144,sitka,57.0531,-135.33,3.94,87,{'all': 75},2.06,US,1681728299
145,dongsheng,39.8161,109.9776,17.44,20,{'all': 73},8.41,CN,1681728299
146,kloulklubed,7.0419,134.2556,26.28,71,{'all': 24},3.37,PW,1681728300
147,piterka,50.6803,47.4454,13.51,28,{'all': 35},3.37,RU,1681728300
148,yongchang,30.0381,119.7317,23.55,65,{'all': 5},1.92,CN,1681728301
149,mehamn,71.0357,27.8492,3.97,87,{'all': 75},6.69,NO,1681728301
150,road town,18.4167,-64.6167,23.05,75,{'all': 3},4.67,VG,1681728302
151,medicine hat,50.0501,-110.6683,5.24,87,{'all': 0},4.12,CA,1681728302
152,ribeira grande,38.5167,-28.7,16.22,63,{'all': 40},6.17,PT,1681728303
153,roma,43.2128,-75.4557,10.53,91,{'all': 100},5.14,US,1681728066
154,puerto del rosario,28.5004,-13.8627,22.86,53,{'all': 20},6.17,ES,1681728304
155,sobolevo,54.4299,31.8996,9.55,68,{'all': 100},1.94,RU,1681728304
156,mount gambier,-37.8333,140.7667,13.79,93,{'all': 51},2.83,AU,1681728305
157,bluff,-46.6,168.3333,11.56,76,{'all': 100},3.05,NZ,1681728305
158,maragogi,-9.0122,-35.2225,27.27,80,{'all': 100},2.01,BR,1681728306
159,tutoia,-2.7619,-42.2744,25.94,88,{'all': 100},1.37,BR,1681728307
160,atbasar,51.8,68.3333,1.36,65,{'all': 36},5.18,KZ,1681728307
161,mosquera,4.7059,-74.2302,11.05,93,{'all': 75},2.06,CO,1681728308
162,alice springs,-23.7,133.8833,13.75,72,{'all': 0},3.6,AU,1681728216
163,noyabrsk,63.1994,75.4507,-12.52,76,{'all': 99},7.02,RU,1681728157
164,gaillac,43.9016,1.8969,15.31,55,{'all': 40},3.54,FR,1681728309
165,katherine,-14.4667,132.2667,22.18,73,{'all': 19},2.57,AU,1681728306
166,longyearbyen,78.2186,15.6401,1.91,87,{'all': 75},6.17,SJ,1681728310
167,verkhnyaya inta,65.9811,60.3094,-2.92,71,{'all': 37},3.47,RU,1681728311
168,tilichiki,60.4667,166.1,-1.0,98,{'all': 100},6.39,RU,1681728311
169,esperance,-33.8667,121.9,19.58,75,{'all': 86},9.15,AU,1681728312
170,bontang,0.1333,117.5,27.86,79,{'all': 100},2.66,ID,1681728312
171,tuktoyaktuk,69.4541,-133.0374,-10.52,96,{'all': 100},3.16,CA,1681728313
